ccode,country_name,iso_alpha,region,full_name,display_name
2.0,USA,USA,America,United States,United States (USA)
20.0,CAN,CAN,America,Canada,Canada (CAN)
31.0,BHM,BHS,America,Bahamas,Bahamas (BHS)
40.0,CUB,CUB,America,Cuba,Cuba (CUB)
41.0,HAI,HTI,America,Haiti,Haiti (HTI)
42.0,DOM,DOM,America,Dominican Republic,Dominican Republic (DOM)
51.0,JAM,JAM,America,Jamaica,Jamaica (JAM)
52.0,TRI,TTO,America,Trinidad and Tobago,Trinidad and Tobago (TTO)
53.0,BAR,BRB,America,Barbados,Barbados (BRB)
54.0,DMA,DMA,America,Dominica,Dominica (DMA)
55.0,GRN,GRD,America,Grenada,Grenada (GRD)
56.0,SLU,LCA,America,St. Lucia,St. Lucia (LCA)
57.0,SVG,VCT,America,St. Vincent and the Grenadines,St. Vincent and the Grenadines (VCT)
58.0,AAB,ATG,America,Antigua and Barbuda,Antigua and Barbuda (ATG)
60.0,SKN,KNA,America,St. Kitts and Nevis,St. Kitts and Nevis (KNA)
70.0,MEX,MEX,America,Mexico,Mexico (MEX)
80.0,BLZ,BLZ,America,Belize,Belize (BLZ)
90.0,GUA,GTM,America,Guatemala,Guatemala (GTM)
91.0,HON,HND,America,Honduras,Honduras (HND)
92.0,SAL,SLV,America,El Salvador,El Salvador (SLV)
93.0,NIC,NIC,America,Nicaragua,Nicaragua (NIC)
94.0,COS,CRI,America,Costa Rica,Costa Rica (CRI)
95.0,PAN,PAN,America,Panama,Panama (PAN)
100.0,COL,COL,America,Colombia,Colombia (COL)
101.0,VEN,VEN,America,Venezuela,Venezuela (VEN)
110.0,GUY,GUY,America,Guyana,Guyana (GUY)
115.0,SUR,SUR,America,Suriname,Suriname (SUR)
130.0,ECU,ECU,America,Ecuador,Ecuador (ECU)
135.0,PER,PER,America,Peru,Peru (PER)
140.0,BRA,BRA,America,Brazil,Brazil (BRA)
145.0,BOL,BOL,America,Bolivia,Bolivia (BOL)
150.0,PAR,PRY,America,Paraguay,Paraguay (PRY)
155.0,CHL,CHL,America,Chile,Chile (CHL)
160.0,ARG,ARG,America,Argentina,Argentina (ARG)
165.0,URU,URY,America,Uruguay,Uruguay (URY)
200.0,UKG,GBR,Europe,United Kingdom,United Kingdom (GBR)
205.0,IRE,IRL,Europe,Ireland,Ireland (IRL)
210.0,NTH,NLD,Europe,Netherlands,Netherlands (NLD)
